category,num_vesicles_avg
High_original,1
High_original,4
High_original,10
High_original,7
High_original,12
High_original,18
High_original,28
High_original,96
High_original,19
High_original,174
Low_original,0
Low_original,0
Low_original,0
Low_original,0
Low_original,0
Low_original,3
Low_original,0
Low_original,2
Low_original,0
Low_original,0
High_replace_dismis1,18
High_replace_dismis1,5
High_replace_dismis1,32
High_replace_dismis1,22
High_replace_dismis1,49
High_replace_dismis1,102
High_replace_dismis1,43
High_replace_dismis1,146
High_replace_dismis1,70
High_replace_dismis1,19
Low_replace_dismis1,0
Low_replace_dismis1,66
Low_replace_dismis1,24
Low_replace_dismis1,0
Low_replace_dismis1,0
Low_replace_dismis1,28
Low_replace_dismis1,4
Low_replace_dismis1,0
Low_replace_dismis1,0
Low_replace_dismis1,12
High_replace_dismis3,22
High_replace_dismis3,56
High_replace_dismis3,52
High_replace_dismis3,58
High_replace_dismis3,66
High_replace_dismis3,36
High_replace_dismis3,50
High_replace_dismis3,0
High_replace_dismis3,23
High_replace_dismis3,148
Low_replace_dismis3,1
Low_replace_dismis3,0
Low_replace_dismis3,25
Low_replace_dismis3,0
Low_replace_dismis3,29
Low_replace_dismis3,0
Low_replace_dismis3,44
Low_replace_dismis3,34
Low_replace_dismis3,2
Low_replace_dismis3,84
High_replace_smi1,48
High_replace_smi1,0
High_replace_smi1,6
High_replace_smi1,25
High_replace_smi1,19
High_replace_smi1,1
High_replace_smi1,10
High_replace_smi1,0
High_replace_smi1,0
High_replace_smi1,0
Low_replace_smi1,0
Low_replace_smi1,0
Low_replace_smi1,0
Low_replace_smi1,0
Low_replace_smi1,0
Low_replace_smi1,0
Low_replace_smi1,0
Low_replace_smi1,0
Low_replace_smi1,0
Low_replace_smi1,0
High_replace_smi5,0
High_replace_smi5,0
High_replace_smi5,0
High_replace_smi5,0
High_replace_smi5,0
High_replace_smi5,0
High_replace_smi5,0
High_replace_smi5,0
High_replace_smi5,0
High_replace_smi5,0
Low_replace_smi5,0
Low_replace_smi5,0
Low_replace_smi5,0
Low_replace_smi5,0
Low_replace_smi5,0
Low_replace_smi5,2
Low_replace_smi5,0
Low_replace_smi5,0
Low_replace_smi5,0
Low_replace_smi5,0
