position,num_vesicles,area_vesicles,area_percent
C03,0,0.0,0.0
C04,6,6651.929744894688,0.00634377455224475
C05,14,8238.434034957534,0.00785678294654605
C06,4,3702.7596413372703,0.00353122676976895
C07,20,10531.403972996384,0.0100435294847453
C08,0,0.0,0.0
C09,0,0.0,0.0
C10,7,9718.909572961724,0.0092686744432084
C11,45,117077.34072224915,0.11165365287995255
C12,50,98370.72726644871,0.0938136360802161
C13,105,94396.6125596576,0.09002362495389704
C14,147,117631.43912652602,0.11218208229687304
C15,366,153535.13076807695,0.14642251087958996
C16,8,5149.070359233671,0.0049105361549698
C17,0,0.0,0.0
C18,0,0.0,0.0
C19,0,0.0,0.0
C20,0,0.0,0.0
C21,0,0.0,0.0
C22,0,0.0,0.0
D03,0,2407.245370813179,0.00229572808343235
D04,32,117932.24662310726,0.11246895468054505
D05,54,143444.33516474656,0.13679917828058863
D06,64,135211.7916160145,0.1289480129394669
D07,0,0.0,0.0
D08,10,13637.261010151593,0.013005505571509899
D09,0,567.0574739729576,0.0005407881488542
D10,2,1716.0949870234247,0.0016365957136377
D11,7,8353.102166813562,0.00796613899880745
D12,2,3694.512960621597,0.00352336212217475
D13,0,0.0,0.0
D14,0,0.0,0.0
D15,0,2495.209965113693,0.00237961765776985
D16,0,0.0,0.0
D17,0,0.0,0.0
D18,0,0.0,0.0
D19,0,0.0,0.0
D20,0,0.0,0.0
D21,0,0.0,0.0
D22,4,11093.749057988956,0.01057982354926005
E03,38,89914.34524114837,0.0857490017329677
E04,54,100417.47488026245,0.09576556671167599
E05,75,194792.48899042662,0.18576859377901705
E06,80,227018.1610327873,0.2165013895347474
E07,4,9432.631942403354,0.00899565881958325
E08,0,746.5209543092745,0.0007119378607838
E09,9,7575.950684131787,0.00722498958981675
E10,15,4702.571503342221,0.00448472166380135
E11,15,6762.670885933729,0.006449385534223251
E12,32,22824.456026493244,0.021767097498410402
E13,2,1056.7532288512666,0.0010077984131348
E14,0,0.0,0.0
E15,4,10056.630783222627,0.0095907504875398
E16,41,74459.67288089509,0.07101027763452056
E17,42,64237.32308519559,0.0612614851810413
E18,168,138709.95503578673,0.13228412154749555
E19,57,24667.000117823656,0.0235242844751583
E20,149,61147.56671039002,0.0583148638824367
E21,0,0.0,0.0
E22,0,0.0,0.0
F03,0,0.0,0.0
F04,0,0.0,0.0
F05,0,0.0,0.0
F06,0,0.0,0.0
F07,0,0.0,0.0
F08,0,3180.8625617596654,0.00303350692916835
F09,44,115041.19598364124,0.10971183393825645
F10,76,151226.45286677015,0.144220784060259
F11,72,156597.00550808193,0.14934254217918574
F12,0,0.0,0.0
F13,16,19472.769364194635,0.0185706800119348
F14,0,0.0,0.0
F15,0,0.0,0.0
F16,0,0.0,0.0
F17,0,0.0,0.0
F18,0,537.6050428455534,0.00051270012173225
F19,2,4423.755155336127,0.00421882167371375
F20,0,0.0,0.0
F21,0,0.0,0.0
F22,0,0.0,0.0
G03,0,0.0,0.0
G04,0,0.0,0.0
G05,7,20365.374376895837,0.01942193448724345
G06,12,11102.781136868027,0.010588437210910798
G07,24,55711.0406233529,0.05313018858275685
G08,48,101629.34424638472,0.09692129540098635
G09,48,96253.68651701088,0.0917946686906918
G10,106,184167.62263598596,0.17563593162153804
G11,64,251270.07822125542,0.2396298200810007
G12,4,3667.8094230660836,0.0034978956442509
