decanoic acid_Concentration (mM),decanoate_Concentration (mM),decylamine_Concentration (mM),decyl trimethylamine_Concentration (mM),decylsulfate_Concentration (mM),decanol_Concentration (mM),monocaprin_Concentration (mM),num_vesicles
0.8500000000000001,1.5999999999999999,2.425,3.725,4.35,0.555,0.785,22
3.425,0.9050000000000001,0.19199999999999998,1.8749999999999998,2.375,0.23099999999999993,0.11299999999999992,9
2.2,1.025,2.65,4.975,4.25,0.1724999999999999,0.22499999999999998,6
3.6250000000000004,4.975,0.4649999999999999,0.07399999999999995,3.375,0.8024999999999999,0.11999999999999991,2
2.2250000000000005,3.225,4.35,1.425,1.7500000000000004,1.1175,0.34999999999999987,36
0.4449999999999999,4.000000000000001,3.3249999999999997,4.575000000000001,3.9250000000000003,0.8775,0.17199999999999993,40
4.425,4.825,3.3,1.8000000000000003,0.825,0.5399999999999999,0.8450000000000001,22
3.9000000000000004,3.9000000000000004,0.75,4.725,4.625000000000002,0.29699999999999993,0.26499999999999996,39
0.8200000000000001,0.3099999999999999,0.57,0.08499999999999992,3.6750000000000003,1.2525,0.5199999999999999,9
0.41,2.925,0.945,2.425,4.925,0.13649999999999984,0.37499999999999994,30
0.895,0.755,4.125000000000001,0.6399999999999999,2.0000000000000004,1.0575,0.7200000000000001,8
3.7,3.725,1.475,4.949999999999999,1.275,0.4649999999999999,0.9500000000000001,40
1.5999999999999999,3.95,1.625,0.22999999999999995,1.925,0.51,0.7900000000000001,26
2.8,3.6250000000000004,3.2000000000000006,2.25,3.9749999999999996,0.4575000000000001,0.555,36
0.186,4.6,2.0250000000000004,2.5749999999999997,2.875,0.6975,0.41,31
4.725,1.175,0.035,3.4000000000000004,4.475,1.4475,0.14299999999999988,35
3.95,4.875000000000002,4.6499999999999995,0.19099999999999992,3.95,1.3950000000000002,0.33,18
1.025,2.5749999999999997,3.6750000000000003,3.4000000000000004,0.04799999999999998,1.3499999999999999,0.725,0
4.6,1.8749999999999998,3.8499999999999983,0.6949999999999998,2.925,0.08099999999999996,0.10299999999999998,30
0.36999999999999994,0.10399999999999993,2.25,1.5000000000000004,2.85,1.4475,0.33,12
2.175,1.275,3.375,0.009999999999999917,3.6500000000000004,0.8625,0.4399999999999999,8
1.7500000000000004,0.585,2.275,3.7750000000000004,2.525,0.03599999999999998,0.39,14
1.175,2.925,3.7750000000000004,2.45,1.5250000000000001,0.204,0.22999999999999995,22
3.3249999999999997,3.3249999999999997,3.8499999999999983,2.0000000000000004,3.725,1.4475,0.565,36
3.075,2.275,0.21,4.625000000000002,0.22499999999999998,1.3425,0.1599999999999999,7
