Heptadecafluorooctanesulfonic acid potassium salt (50 mM),Heptadecafluorooctanesulfonic acid potassium salt (10 mM),Heptadecafluorooctanesulfonic acid potassium salt (2 mM),Decanoate (50 mM),Decanoate (10 mM),Decanoate (2 mM),Decylamine (50 mM),Decylamine (10 mM),Decylamine (2 mM),Perfluorooctanoic acid (50 mM),Perfluorooctanoic acid (10 mM),Perfluorooctanoic acid (2 mM),Decyl sodium sulfate (50 mM),Decyl sodium sulfate (10 mM),Decyl sodium sulfate (2 mM),"1H,1H,2H,2H-Tridecafluorooctane-1-sulphonic acid (15 mM)","1H,1H,2H,2H-Tridecafluorooctane-1-sulphonic acid (3 mM)",Glycerol monodecanoate (10 mM),Glycerol monodecanoate (2 mM)
0.0,7.9,0.0,18.7,0.0,0.0,12.0,0.0,0.0,17.5,0.0,0.0,15.9,0.0,0.0,9.7,0.0,17.9,0.0
0.0,0.0,4.4,0.0,16.5,0.0,0.0,7.5,0.0,0.0,0.0,19.3,18.2,0.0,0.0,9.8,0.0,13.1,0.0
0.0,0.0,0.1,15.0,0.0,0.0,12.6,0.0,0.0,8.3,0.0,0.0,11.3,0.0,0.0,0.0,10.0,7.5,0.0
0.0,0.0,2.8,7.4,0.0,0.0,0.0,11.5,0.0,5.0,0.0,0.0,18.2,0.0,0.0,5.9,0.0,15.8,0.0
11.2,0.0,0.0,16.8,0.0,0.0,4.5,0.0,0.0,0.0,16.9,0.0,18.4,0.0,0.0,6.7,0.0,8.1,0.0
17.0,0.0,0.0,18.8,0.0,0.0,17.7,0.0,0.0,5.4,0.0,0.0,14.7,0.0,0.0,15.6,0.0,5.0,0.0
8.7,0.0,0.0,18.9,0.0,0.0,14.2,0.0,0.0,0.0,0.0,4.3,16.0,0.0,0.0,14.0,0.0,14.4,0.0
5.3,0.0,0.0,15.4,0.0,0.0,0.0,9.4,0.0,9.5,0.0,0.0,7.9,0.0,0.0,4.1,0.0,0.0,9.9
0.0,17.3,0.0,16.1,0.0,0.0,0.0,0.0,4.0,9.1,0.0,0.0,18.5,0.0,0.0,8.9,0.0,18.3,0.0
8.2,0.0,0.0,10.5,0.0,0.0,0.0,4.4,0.0,0.0,0.0,6.6,19.8,0.0,0.0,0.0,15.8,0.0,3.8
