Heptadecafluorooctanesulfonic acid potassium salt (50 mM),Heptadecafluorooctanesulfonic acid potassium salt (10 mM),Heptadecafluorooctanesulfonic acid potassium salt (2 mM),Decanoate (50 mM),Decanoate (10 mM),Decanoate (2 mM),Decylamine (50 mM),Decylamine (10 mM),Decylamine (2 mM),Perfluorooctanoic acid (50 mM),Perfluorooctanoic acid (10 mM),Perfluorooctanoic acid (2 mM),Decyl sodium sulfate (50 mM),Decyl sodium sulfate (10 mM),Decyl sodium sulfate (2 mM),"1H,1H,2H,2H-Tridecafluorooctane-1-sulphonic acid (15 mM)","1H,1H,2H,2H-Tridecafluorooctane-1-sulphonic acid (3 mM)",Glycerol monodecanoate (10 mM),Glycerol monodecanoate (2 mM)
0.0,11.2,0.0,0.0,17.8,0.0,11.6,0.0,0.0,0.0,0.0,2.6,0.0,4.6,0.0,0.0,2.9,0.0,2.9
0.0,0.0,10.8,7.5,0.0,0.0,14.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,9.2,9.2,0.0,15.3,0.0
0.0,4.5,0.0,10.1,0.0,0.0,6.5,0.0,0.0,0.0,0.0,18.9,0.0,10.9,0.0,0.0,0.8,7.7,0.0
0.0,0.0,0.7,0.0,11.1,0.0,11.1,0.0,0.0,0.0,15.2,0.0,0.0,4.0,0.0,5.2,0.0,4.1,0.0
0.0,15.0,0.0,0.0,0.0,19.2,6.3,0.0,0.0,0.0,0.0,10.8,0.0,4.4,0.0,0.0,14.8,7.6,0.0
0.0,4.8,0.0,4.5,0.0,0.0,11.4,0.0,0.0,0.0,0.0,13.6,0.0,0.0,15.4,5.1,0.0,18.4,0.0
0.0,0.0,3.3,0.0,0.0,18.4,9.6,0.0,0.0,0.0,0.0,13.6,0.0,15.4,0.0,15.6,0.0,0.0,1.6
0.0,6.3,0.0,0.0,11.1,0.0,0.0,6.7,0.0,0.0,7.9,0.0,0.0,13.3,0.0,0.0,11.5,17.2,0.0
0.0,0.0,9.8,0.0,0.0,2.3,12.6,0.0,0.0,5.4,0.0,0.0,0.0,5.3,0.0,0.0,16.1,18.2,0.0
0.0,0.0,9.4,0.0,0.0,14.0,4.2,0.0,0.0,0.0,13.9,0.0,0.0,10.3,0.0,0.0,19.6,14.9,0.0
