smi1,conc1,smi2,conc2,smi3,conc3,smi4,conc4,smi5,conc5,smi6,conc6,smi7,conc7,vesicles_formation
CCCCCCCCCC(=O)O,0.8500000000000001,CCCCCCCCCC(=O)[O-],1.6,CCCCCCCCCCN,2.425,CCCCCCCCCC[N+](C)(C)C.[Br-],3.725,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],4.35,CCCCCCCCCCO,0.555,CCCCCCCCCC(=O)OCC(CO)O,0.785,22
CCCCCCCCCC(=O)O,3.425,CCCCCCCCCC(=O)[O-],0.905,CCCCCCCCCCN,0.1919999999999999,CCCCCCCCCC[N+](C)(C)C.[Br-],1.875,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],2.375,CCCCCCCCCCO,0.2309999999999999,CCCCCCCCCC(=O)OCC(CO)O,0.1129999999999999,9
CCCCCCCCCC(=O)O,2.2,CCCCCCCCCC(=O)[O-],1.025,CCCCCCCCCCN,2.65,CCCCCCCCCC[N+](C)(C)C.[Br-],4.975,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],4.25,CCCCCCCCCCO,0.1724999999999999,CCCCCCCCCC(=O)OCC(CO)O,0.2249999999999999,6
CCCCCCCCCC(=O)O,3.625,CCCCCCCCCC(=O)[O-],4.975,CCCCCCCCCCN,0.4649999999999999,CCCCCCCCCC[N+](C)(C)C.[Br-],0.0739999999999999,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],3.375,CCCCCCCCCCO,0.8024999999999999,CCCCCCCCCC(=O)OCC(CO)O,0.1199999999999999,2
CCCCCCCCCC(=O)O,2.2250000000000005,CCCCCCCCCC(=O)[O-],3.225,CCCCCCCCCCN,4.35,CCCCCCCCCC[N+](C)(C)C.[Br-],1.425,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.7500000000000004,CCCCCCCCCCO,1.1175,CCCCCCCCCC(=O)OCC(CO)O,0.3499999999999998,36
CCCCCCCCCC(=O)O,0.4449999999999999,CCCCCCCCCC(=O)[O-],4.000000000000001,CCCCCCCCCCN,3.3249999999999997,CCCCCCCCCC[N+](C)(C)C.[Br-],4.575000000000001,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],3.925,CCCCCCCCCCO,0.8775,CCCCCCCCCC(=O)OCC(CO)O,0.1719999999999999,40
CCCCCCCCCC(=O)O,4.425,CCCCCCCCCC(=O)[O-],4.825,CCCCCCCCCCN,3.3,CCCCCCCCCC[N+](C)(C)C.[Br-],1.8000000000000005,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.825,CCCCCCCCCCO,0.5399999999999999,CCCCCCCCCC(=O)OCC(CO)O,0.8450000000000001,22
CCCCCCCCCC(=O)O,3.9,CCCCCCCCCC(=O)[O-],3.9,CCCCCCCCCCN,0.75,CCCCCCCCCC[N+](C)(C)C.[Br-],4.725,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],4.625000000000002,CCCCCCCCCCO,0.2969999999999999,CCCCCCCCCC(=O)OCC(CO)O,0.2649999999999999,39
CCCCCCCCCC(=O)O,0.8200000000000001,CCCCCCCCCC(=O)[O-],0.3099999999999999,CCCCCCCCCCN,0.57,CCCCCCCCCC[N+](C)(C)C.[Br-],0.0849999999999999,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],3.675,CCCCCCCCCCO,1.2525,CCCCCCCCCC(=O)OCC(CO)O,0.5199999999999999,9
CCCCCCCCCC(=O)O,0.41,CCCCCCCCCC(=O)[O-],2.925,CCCCCCCCCCN,0.945,CCCCCCCCCC[N+](C)(C)C.[Br-],2.425,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],4.925,CCCCCCCCCCO,0.1364999999999998,CCCCCCCCCC(=O)OCC(CO)O,0.3749999999999999,30
