run,roc_auc,mean_auc,std_auc
0,0.8034821145932257,0.7935372705580219,0.05660579530948313
1,0.7094543625848629,0.7935372705580219,0.05660579530948313
2,0.8425719246031746,0.7935372705580219,0.05660579530948313
3,0.6656427221172022,0.7935372705580219,0.05660579530948313
4,0.7922388059701493,0.7935372705580219,0.05660579530948313
5,0.8027398906447155,0.7935372705580219,0.05660579530948313
6,0.8418144809537657,0.7935372705580219,0.05660579530948313
7,0.82763389489565,0.7935372705580219,0.05660579530948313
8,0.8080839829016847,0.7935372705580219,0.05660579530948313
9,0.8417105263157896,0.7935372705580219,0.05660579530948313
