x_center,y_center,box_length,score
469.0,210.0,40.0,0.8114176988601685
336.0,455.0,57.0,0.8049665689468384
330.0,619.0,37.0,0.7960923910140991
180.0,517.0,54.0,0.7746613621711731
262.0,791.0,63.0,0.7723339200019836
567.0,802.0,46.0,0.7709449529647827
684.0,711.0,59.0,0.765683650970459
799.0,922.0,50.0,0.7638742923736572
886.0,773.0,63.0,0.7483291029930115
718.0,192.0,26.0,0.7445275783538818
594.0,550.0,65.0,0.7392289638519287
96.0,731.0,63.0,0.7307913899421692
65.0,154.0,48.0,0.7254235744476318
985.0,103.0,48.0,0.7085340023040771
814.0,79.0,69.0,0.6867006421089172
360.0,165.0,63.0,0.6677209734916687
50.0,753.0,46.0,0.6544055342674255
532.0,273.0,80.0,0.6491758823394775
449.0,684.0,25.0,0.6449074149131775
188.0,779.0,71.0,0.6360992193222046
76.0,290.0,44.0,0.6309489607810974
975.0,194.0,45.0,0.6263827681541443
280.0,485.0,37.0,0.6098818182945251
673.0,439.0,40.0,0.6096159219741821
872.0,96.0,37.0,0.5916072130203247
941.0,590.0,48.0,0.5803387761116028
661.0,888.0,32.0,0.5717712640762329
49.0,598.0,43.0,0.5627061724662781
683.0,256.0,35.0,0.5346643328666687
813.0,588.0,43.0,0.5310871005058289
233.0,473.0,35.0,0.5241363644599915
124.0,637.0,45.0,0.5191423892974854
