x_center,y_center,box_length,score
912.0,447.0,58.0,0.8600860238075256
139.0,839.0,29.0,0.8155975937843323
916.0,384.0,73.0,0.793079137802124
948.0,596.0,29.0,0.7772797346115112
535.0,136.0,26.0,0.748487114906311
926.0,495.0,21.0,0.7452701330184937
204.0,447.0,61.0,0.7452570199966431
455.0,49.0,98.0,0.7420322299003601
53.0,243.0,24.0,0.7097514867782593
376.0,823.0,37.0,0.7075272798538208
166.0,312.0,48.0,0.6961667537689209
370.0,367.0,40.0,0.6906499266624451
784.0,512.0,136.0,0.6878196001052856
520.0,509.0,35.0,0.6735299229621887
650.0,202.0,29.0,0.6675335764884949
36.0,261.0,21.0,0.6657862663269043
428.0,775.0,26.0,0.6655485033988953
823.0,685.0,24.0,0.6467643976211548
249.0,833.0,45.0,0.6387845873832703
401.0,715.0,43.0,0.6349526047706604
137.0,417.0,85.0,0.6306866407394409
422.0,193.0,111.0,0.6243789196014404
498.0,437.0,56.0,0.6200656294822693
968.0,437.0,58.0,0.6191250085830688
655.0,531.0,26.0,0.6081523895263672
985.0,480.0,37.0,0.6020125150680542
113.0,74.0,17.0,0.5963473320007324
374.0,308.0,43.0,0.5962928533554077
361.0,759.0,35.0,0.5853160619735718
34.0,121.0,17.0,0.5825242400169373
267.0,353.0,45.0,0.5813249945640564
573.0,793.0,90.0,0.5686330199241638
977.0,94.0,90.0,0.5672740340232849
215.0,837.0,26.0,0.5667120218276978
1004.0,397.0,26.0,0.561034619808197
166.0,538.0,122.0,0.558259129524231
254.0,765.0,67.0,0.5518449544906616
257.0,415.0,45.0,0.5513729453086853
735.0,70.0,19.0,0.5446195006370544
711.0,902.0,53.0,0.5418885350227356
850.0,311.0,64.0,0.5407477021217346
113.0,745.0,37.0,0.537090539932251
263.0,514.0,67.0,0.5330449342727661
498.0,811.0,21.0,0.5321835279464722
959.0,674.0,93.0,0.5306925773620605
659.0,744.0,64.0,0.5244948267936707
68.0,705.0,57.0,0.5232922434806824
121.0,636.0,48.0,0.5124048590660095
199.0,936.0,21.0,0.505871593952179
548.0,895.0,37.0,0.5049138069152832
973.0,382.0,32.0,0.5045480132102966
431.0,380.0,40.0,0.5026406049728394
