x_center,y_center,box_length,score
244.0,480.0,42.0,0.7930549383163452
949.0,927.0,46.0,0.7630224227905273
253.0,382.0,45.0,0.7597312331199646
311.0,657.0,40.0,0.75681072473526
883.0,194.0,37.0,0.7471087574958801
788.0,964.0,71.0,0.7405069470405579
988.0,509.0,29.0,0.7191339135169983
652.0,447.0,45.0,0.7161238193511963
465.0,709.0,85.0,0.6874457001686096
787.0,228.0,36.0,0.6737017035484314
704.0,208.0,24.0,0.6584043502807617
550.0,931.0,35.0,0.6520861387252808
691.0,841.0,21.0,0.6492757797241211
369.0,69.0,27.0,0.6270943284034729
127.0,378.0,53.0,0.6168838143348694
898.0,759.0,21.0,0.6126236319541931
641.0,752.0,29.0,0.5872842073440552
267.0,332.0,24.0,0.5867096781730652
524.0,635.0,26.0,0.5773584246635437
284.0,924.0,17.0,0.5755597949028015
510.0,979.0,31.0,0.5753891468048096
142.0,638.0,24.0,0.5683711171150208
559.0,516.0,23.0,0.5683334469795227
533.0,948.0,29.0,0.5669393539428711
350.0,770.0,48.0,0.566741406917572
940.0,565.0,36.0,0.5610373616218567
1002.0,530.0,32.0,0.5495278239250183
749.0,542.0,26.0,0.546822726726532
192.0,602.0,32.0,0.5416967868804932
924.0,803.0,48.0,0.5366265177726746
706.0,252.0,21.0,0.529863178730011
645.0,161.0,21.0,0.527184009552002
740.0,700.0,38.0,0.5211380124092102
548.0,630.0,17.0,0.519157350063324
449.0,485.0,19.0,0.512164831161499
625.0,25.0,21.0,0.5046446919441223
745.0,287.0,21.0,0.5037561655044556
172.0,622.0,17.0,0.5010907649993896
