x_center,y_center,box_length,score
414.0,448.0,34.0,0.6816190481185913
824.0,47.0,40.0,0.6800963282585144
152.0,853.0,35.0,0.6602212190628052
925.0,617.0,40.0,0.6580648422241211
425.0,703.0,21.0,0.6508872509002686
1013.0,530.0,21.0,0.6428110599517822
313.0,269.0,23.0,0.6332529783248901
240.0,395.0,36.0,0.6242336630821228
416.0,150.0,27.0,0.6151483058929443
566.0,501.0,38.0,0.6144490242004395
383.0,274.0,53.0,0.6135185360908508
352.0,1002.0,26.0,0.6060793399810791
71.0,173.0,23.0,0.6028017401695251
319.0,520.0,27.0,0.5988869071006775
318.0,380.0,40.0,0.5882924199104309
521.0,868.0,21.0,0.5819584727287292
457.0,383.0,48.0,0.5810571312904358
590.0,212.0,42.0,0.5708357095718384
623.0,646.0,73.0,0.5675589442253113
700.0,35.0,63.0,0.567044734954834
453.0,527.0,24.0,0.5520098805427551
946.0,835.0,44.0,0.5487311482429504
885.0,268.0,73.0,0.5299680233001709
895.0,985.0,31.0,0.5234189629554749
735.0,190.0,38.0,0.5225473046302795
548.0,926.0,44.0,0.5125441551208496
78.0,515.0,25.0,0.505340576171875
643.0,244.0,54.0,0.5003405213356018
