x_center,y_center,box_length,score
19.0,491.0,37.0,0.7689103484153748
203.0,674.0,21.0,0.7135011553764343
554.0,228.0,32.0,0.6967594623565674
288.0,901.0,29.0,0.6911096572875977
201.0,111.0,35.0,0.6832965612411499
28.0,535.0,24.0,0.6802217960357666
769.0,783.0,24.0,0.6670205593109131
141.0,857.0,21.0,0.6583667993545532
246.0,375.0,21.0,0.6573951244354248
155.0,765.0,24.0,0.657343864440918
370.0,299.0,21.0,0.6556506752967834
199.0,318.0,19.0,0.6389718055725098
712.0,985.0,21.0,0.6377688646316528
116.0,873.0,31.0,0.6333425045013428
215.0,426.0,29.0,0.6325893402099609
424.0,298.0,24.0,0.6307064890861511
600.0,641.0,17.0,0.6189665198326111
380.0,912.0,24.0,0.6151285767555237
564.0,374.0,26.0,0.6116758584976196
789.0,555.0,24.0,0.6098480224609375
229.0,271.0,24.0,0.6048876643180847
421.0,238.0,19.0,0.6044496297836304
510.0,913.0,29.0,0.6020500063896179
141.0,692.0,17.0,0.6005227565765381
200.0,900.0,26.0,0.5957151055335999
318.0,500.0,23.0,0.5886446833610535
312.0,358.0,21.0,0.5864441394805908
785.0,720.0,24.0,0.5844430327415466
573.0,554.0,21.0,0.5796314477920532
368.0,86.0,17.0,0.5781422257423401
330.0,65.0,21.0,0.5735310316085815
115.0,800.0,17.0,0.5711274147033691
329.0,425.0,17.0,0.5651305913925171
670.0,742.0,19.0,0.5636658668518066
849.0,396.0,23.0,0.5613486170768738
526.0,320.0,21.0,0.5546954870223999
701.0,689.0,19.0,0.5512486100196838
147.0,58.0,26.0,0.5507712364196777
261.0,885.0,17.0,0.5473655462265015
412.0,900.0,19.0,0.5455584526062012
236.0,512.0,17.0,0.5428286194801331
943.0,551.0,21.0,0.5396798253059387
211.0,253.0,19.0,0.538455605506897
298.0,536.0,23.0,0.5358296632766724
1000.0,127.0,24.0,0.5347802639007568
892.0,792.0,19.0,0.533971905708313
219.0,758.0,19.0,0.5323110222816467
21.0,832.0,24.0,0.5235628485679626
413.0,949.0,21.0,0.5221871137619019
186.0,343.0,21.0,0.5079586505889893
930.0,853.0,17.0,0.505173921585083
648.0,476.0,19.0,0.5047155022621155
770.0,516.0,19.0,0.5043544173240662
927.0,279.0,21.0,0.5024157762527466
476.0,228.0,17.0,0.5018579959869385
