x_center,y_center,box_length,score
163.0,69.0,56.0,0.854796826839447
462.0,673.0,45.0,0.8397312760353088
266.0,971.0,61.0,0.7767542004585266
898.0,846.0,64.0,0.774929940700531
396.0,552.0,23.0,0.7340990304946899
41.0,222.0,43.0,0.7265461087226868
864.0,936.0,23.0,0.7119436860084534
347.0,913.0,58.0,0.6859173774719238
768.0,916.0,29.0,0.6821393370628357
39.0,538.0,69.0,0.678068995475769
615.0,252.0,87.0,0.6707350611686707
417.0,854.0,71.0,0.6704474091529846
202.0,648.0,71.0,0.667273223400116
415.0,974.0,50.0,0.6611835956573486
102.0,74.0,35.0,0.6603016257286072
156.0,299.0,53.0,0.6513494253158569
530.0,284.0,48.0,0.6494459509849548
405.0,321.0,26.0,0.6439871788024902
558.0,179.0,56.0,0.6411110162734985
374.0,236.0,65.0,0.6399692893028259
532.0,87.0,125.0,0.6374318599700928
508.0,374.0,40.0,0.6339529752731323
348.0,486.0,32.0,0.6310177445411682
607.0,365.0,46.0,0.6260293126106262
359.0,416.0,50.0,0.6243762373924255
222.0,531.0,104.0,0.6239190697669983
503.0,199.0,40.0,0.6185790300369263
281.0,903.0,80.0,0.6179921627044678
472.0,154.0,56.0,0.6170315146446228
450.0,506.0,40.0,0.6159275770187378
649.0,852.0,100.0,0.606902003288269
865.0,225.0,26.0,0.6066027283668518
756.0,238.0,45.0,0.5937768220901489
48.0,273.0,24.0,0.5911726355552673
741.0,816.0,40.0,0.5903174877166748
997.0,774.0,48.0,0.5884923338890076
523.0,765.0,143.0,0.58310467004776
567.0,435.0,35.0,0.5790703892707825
584.0,297.0,45.0,0.5783254504203796
441.0,219.0,76.0,0.5769137740135193
773.0,622.0,45.0,0.573351263999939
873.0,619.0,168.0,0.5699561238288879
272.0,122.0,45.0,0.5693292021751404
357.0,672.0,29.0,0.5688425898551941
465.0,393.0,26.0,0.5664582848548889
420.0,764.0,77.0,0.5660159587860107
389.0,630.0,21.0,0.5637138485908508
932.0,82.0,31.0,0.5576745867729187
222.0,50.0,26.0,0.5558013916015625
642.0,60.0,59.0,0.5549342632293701
833.0,143.0,29.0,0.5520988702774048
927.0,967.0,29.0,0.5519702434539795
731.0,721.0,26.0,0.551040768623352
751.0,335.0,90.0,0.5500692129135132
261.0,246.0,45.0,0.5485448241233826
791.0,229.0,53.0,0.5470368266105652
163.0,182.0,141.0,0.5448892712593079
742.0,872.0,24.0,0.5446609854698181
220.0,767.0,24.0,0.5427665710449219
400.0,160.0,73.0,0.542564868927002
897.0,776.0,73.0,0.5416749119758606
317.0,130.0,45.0,0.5397214293479919
762.0,403.0,29.0,0.5371580719947815
639.0,758.0,56.0,0.5344383120536804
757.0,867.0,59.0,0.5342494249343872
307.0,572.0,67.0,0.5339699983596802
701.0,228.0,24.0,0.5332545042037964
686.0,563.0,148.0,0.5329994559288025
107.0,989.0,24.0,0.5313856601715088
895.0,218.0,21.0,0.5310755372047424
128.0,843.0,17.0,0.5289438962936401
491.0,243.0,23.0,0.5262327194213867
671.0,225.0,19.0,0.5259628891944885
324.0,37.0,37.0,0.5204516649246216
965.0,881.0,77.0,0.51837158203125
409.0,398.0,21.0,0.5164761543273926
392.0,305.0,26.0,0.5147075057029724
467.0,961.0,26.0,0.5123839378356934
303.0,104.0,40.0,0.512058675289154
170.0,724.0,19.0,0.5113862752914429
250.0,819.0,75.0,0.51111900806427
77.0,585.0,43.0,0.510962963104248
212.0,342.0,21.0,0.5104415416717529
154.0,594.0,61.0,0.50895094871521
111.0,836.0,34.0,0.508905827999115
95.0,521.0,48.0,0.5068870186805725
812.0,952.0,42.0,0.5030187964439392
870.0,85.0,92.0,0.500114381313324
