Geraniol (50 mM),Geraniol (10 mM),Geraniol (2 mM),Decanoate (50 mM),Decanoate (10 mM),Decanoate (2 mM),Glycine octylester (50 mM),Glycine octylester (10 mM),Glycine octylester (2 mM),Myristoleic acid (50 mM),Myristoleic acid (10 mM),Myristoleic acid (2 mM),Hexadecanoic acid (50 mM),Hexadecanoic acid (10 mM),Hexadecanoic acid (2 mM),Decanal (15 mM),Decanal (3 mM),Glycerol monodecanoate (10 mM),Glycerol monodecanoate (2 mM)
11.3,0.0,0.0,5.8,0.0,0.0,0.0,10.3,0.0,16.0,0.0,0.0,0.0,19.8,0.0,8.6,0.0,17.5,0.0
0.0,12.5,0.0,7.7,0.0,0.0,14.9,0.0,0.0,17.8,0.0,0.0,0.0,4.2,0.0,0.0,10.2,18.5,0.0
16.6,0.0,0.0,6.4,0.0,0.0,0.0,6.5,0.0,9.9,0.0,0.0,12.6,0.0,0.0,4.5,0.0,16.2,0.0
6.1,0.0,0.0,0.0,6.7,0.0,0.0,0.0,16.1,0.0,0.0,3.5,0.0,6.9,0.0,16.8,0.0,0.0,18.2
6.4,0.0,0.0,8.5,0.0,0.0,0.0,8.4,0.0,0.0,9.2,0.0,0.0,0.0,7.7,4.6,0.0,9.5,0.0
7.3,0.0,0.0,19.6,0.0,0.0,11.5,0.0,0.0,4.8,0.0,0.0,10.2,0.0,0.0,5.7,0.0,0.0,17.2
17.6,0.0,0.0,0.0,17.0,0.0,19.5,0.0,0.0,5.5,0.0,0.0,0.0,7.6,0.0,16.8,0.0,7.5,0.0
0.0,13.4,0.0,8.1,0.0,0.0,19.2,0.0,0.0,8.4,0.0,0.0,0.0,11.9,0.0,10.5,0.0,9.1,0.0
6.7,0.0,0.0,4.2,0.0,0.0,13.8,0.0,0.0,13.2,0.0,0.0,8.0,0.0,0.0,5.4,0.0,0.0,19.4
6.0,0.0,0.0,5.6,0.0,0.0,8.3,0.0,0.0,17.8,0.0,0.0,7.3,0.0,0.0,8.5,0.0,0.0,3.5
