Geraniol (50 mM),Geraniol (10 mM),Geraniol (2 mM),Decanoate (50 mM),Decanoate (10 mM),Decanoate (2 mM),Glycine octylester (50 mM),Glycine octylester (10 mM),Glycine octylester (2 mM),Myristoleic acid (50 mM),Myristoleic acid (10 mM),Myristoleic acid (2 mM),Hexadecanoic acid (50 mM),Hexadecanoic acid (10 mM),Hexadecanoic acid (2 mM),Decanal (15 mM),Decanal (3 mM),Glycerol monodecanoate (10 mM),Glycerol monodecanoate (2 mM)
0.0,0.0,6.0,9.0,0.0,0.0,6.4,0.0,0.0,0.0,4.1,0.0,0.0,7.2,0.0,9.1,0.0,4.6,0.0
0.0,5.2,0.0,0.0,6.3,0.0,0.0,5.6,0.0,8.6,0.0,0.0,0.0,7.7,0.0,5.0,0.0,17.2,0.0
5.2,0.0,0.0,0.0,0.0,2.5,0.0,0.0,15.7,0.0,11.8,0.0,0.0,0.0,5.1,10.4,0.0,6.9,0.0
0.0,12.7,0.0,0.0,0.0,15.3,0.0,0.0,16.6,15.9,0.0,0.0,0.0,8.2,0.0,4.6,0.0,0.0,17.0
0.0,0.0,9.4,0.0,0.0,14.0,4.2,0.0,0.0,0.0,13.9,0.0,0.0,10.3,0.0,0.0,19.6,14.9,0.0
0.0,6.4,0.0,0.0,14.3,0.0,0.0,11.2,0.0,0.0,19.0,0.0,0.0,11.6,0.0,7.5,0.0,6.5,0.0
0.0,16.3,0.0,0.0,15.2,0.0,0.0,4.2,0.0,0.0,18.6,0.0,0.0,0.0,19.5,13.6,0.0,19.1,0.0
0.0,17.8,0.0,0.0,0.0,9.8,0.0,0.0,5.9,4.5,0.0,0.0,0.0,0.0,16.4,9.9,0.0,16.8,0.0
0.0,6.4,0.0,4.8,0.0,0.0,6.0,0.0,0.0,0.0,11.8,0.0,0.0,15.3,0.0,0.0,5.5,4.7,0.0
0.0,12.6,0.0,4.4,0.0,0.0,0.0,4.9,0.0,0.0,7.7,0.0,9.6,0.0,0.0,0.0,12.1,8.8,0.0
