Geraniol (50 mM),Geraniol (10 mM),Geraniol (2 mM),Decanoate (50 mM),Decanoate (10 mM),Decanoate (2 mM),Glycine octylester (50 mM),Glycine octylester (10 mM),Glycine octylester (2 mM),Myristoleic acid (50 mM),Myristoleic acid (10 mM),Myristoleic acid (2 mM),Hexadecanoic acid (50 mM),Hexadecanoic acid (10 mM),Hexadecanoic acid (2 mM),Decanal (15 mM),Decanal (3 mM),Glycerol monodecanoate (10 mM),Glycerol monodecanoate (2 mM)
0.0,7.9,0.0,18.7,0.0,0.0,12.0,0.0,0.0,17.5,0.0,0.0,15.9,0.0,0.0,9.7,0.0,17.9,0.0
0.0,0.0,16.3,19.3,0.0,0.0,9.2,0.0,0.0,0.0,13.4,0.0,7.4,0.0,0.0,0.0,7.0,19.1,0.0
0.0,0.0,14.9,18.9,0.0,0.0,19.4,0.0,0.0,10.0,0.0,0.0,6.5,0.0,0.0,4.4,0.0,15.2,0.0
12.6,0.0,0.0,16.3,0.0,0.0,17.7,0.0,0.0,18.3,0.0,0.0,6.2,0.0,0.0,19.3,0.0,13.8,0.0
0.0,4.5,0.0,7.1,0.0,0.0,14.7,0.0,0.0,5.4,0.0,0.0,19.8,0.0,0.0,11.5,0.0,0.0,5.3
8.7,0.0,0.0,18.9,0.0,0.0,14.2,0.0,0.0,0.0,0.0,4.3,16.0,0.0,0.0,14.0,0.0,14.4,0.0
17.0,0.0,0.0,18.8,0.0,0.0,17.7,0.0,0.0,5.4,0.0,0.0,14.7,0.0,0.0,15.6,0.0,5.0,0.0
0.0,0.0,1.6,8.8,0.0,0.0,6.0,0.0,0.0,4.9,0.0,0.0,18.6,0.0,0.0,9.2,0.0,16.4,0.0
14.0,0.0,0.0,12.9,0.0,0.0,13.5,0.0,0.0,17.3,0.0,0.0,6.6,0.0,0.0,0.0,13.4,10.7,0.0
5.9,0.0,0.0,18.6,0.0,0.0,4.5,0.0,0.0,19.3,0.0,0.0,9.2,0.0,0.0,10.5,0.0,0.0,12.2
