Decanoic acid (50 mM),Decanoic acid (10 mM),Decanoic acid (2 mM),Decanoate (50 mM),Decanoate (10 mM),Decanoate (2 mM),Decylamine (50 mM),Decylamine (10 mM),Decylamine (2 mM),Decyltrimethyl ammonium bromid (50 mM),Decyltrimethyl ammonium bromid (10 mM),Decyltrimethyl ammonium bromid (2 mM),Decyl sodium sulfate (50 mM),Decyl sodium sulfate (10 mM),Decyl sodium sulfate (2 mM),Perfluorooctanoic acid (15 mM),Perfluorooctanoic acid (3 mM),Glycerol monodecanoate (10 mM),Glycerol monodecanoate (2 mM)
0.0,11.3,0.0,4.3,0.0,0.0,11.5,0.0,0.0,0.0,10.1,0.0,0.0,0.0,14.8,4.1,0.0,0.0,11.8
8.3,0.0,0.0,0.0,0.0,14.4,0.0,4.5,0.0,0.0,0.0,9.2,0.0,11.7,0.0,0.0,8.8,0.0,19.8
4.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,18.5,0.0,15.2,0.0,0.0,0.0,18.9,0.0,11.7,19.7,0.0
0.0,10.4,0.0,8.3,0.0,0.0,11.3,0.0,0.0,0.0,9.6,0.0,0.0,0.0,11.3,0.0,8.5,10.4,0.0
5.7,0.0,0.0,0.0,0.0,2.1,5.3,0.0,0.0,0.0,0.0,10.6,0.0,4.7,0.0,0.0,7.6,11.4,0.0
5.1,0.0,0.0,4.2,0.0,0.0,0.0,14.4,0.0,0.0,0.0,12.5,0.0,10.1,0.0,0.0,16.9,8.0,0.0
0.0,6.4,0.0,4.8,0.0,0.0,6.0,0.0,0.0,0.0,11.8,0.0,0.0,15.3,0.0,0.0,5.5,4.7,0.0
0.0,11.2,0.0,0.0,17.8,0.0,11.6,0.0,0.0,0.0,0.0,2.6,0.0,4.6,0.0,0.0,2.9,0.0,2.9
0.0,0.0,0.7,0.0,11.1,0.0,11.1,0.0,0.0,0.0,15.2,0.0,0.0,4.0,0.0,5.2,0.0,4.1,0.0
0.0,5.2,0.0,0.0,14.1,0.0,12.2,0.0,0.0,5.3,0.0,0.0,0.0,10.1,0.0,0.0,11.0,5.2,0.0
