Decanoic acid (50 mM),Decanoic acid (10 mM),Decanoic acid (2 mM),Decanoate (50 mM),Decanoate (10 mM),Decanoate (2 mM),Decylamine (50 mM),Decylamine (10 mM),Decylamine (2 mM),Decanal (50 mM),Decanal (10 mM),Decanal (2 mM),Decyl sodium sulfate (50 mM),Decyl sodium sulfate (10 mM),Decyl sodium sulfate (2 mM),Decanol (15 mM),Decanol (3 mM),Glycerol monodecanoate (10 mM),Glycerol monodecanoate (2 mM)
0.0,7.7,0.0,0.0,7.8,0.0,0.0,14.5,0.0,6.2,0.0,0.0,4.7,0.0,0.0,4.1,0.0,10.6,0.0
0.0,14.0,0.0,0.0,0.0,14.8,0.0,7.1,0.0,0.0,5.1,0.0,0.0,4.9,0.0,8.1,0.0,0.0,18.6
4.0,0.0,0.0,0.0,0.0,2.0,16.3,0.0,0.0,0.0,0.0,17.8,0.0,15.4,0.0,18.5,0.0,18.7,0.0
0.0,13.8,0.0,15.9,0.0,0.0,0.0,0.0,2.4,0.0,0.0,16.6,0.0,9.0,0.0,0.0,1.6,0.0,13.4
0.0,8.0,0.0,0.0,17.8,0.0,12.3,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.9,13.4,0.0,0.0,2.5
4.8,0.0,0.0,0.0,6.0,0.0,0.0,16.0,0.0,4.7,0.0,0.0,0.0,0.0,17.2,0.0,14.9,10.3,0.0
0.0,6.8,0.0,0.0,7.8,0.0,0.0,8.7,0.0,0.0,20.0,0.0,0.0,0.0,9.6,5.9,0.0,8.5,0.0
0.0,6.5,0.0,10.4,0.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,9.8,0.0,0.0,15.7,11.9,0.0
12.6,0.0,0.0,0.0,12.5,0.0,4.8,0.0,0.0,0.0,0.0,15.1,0.0,0.0,4.6,18.9,0.0,15.7,0.0
0.0,5.2,0.0,0.0,11.7,0.0,0.0,17.8,0.0,9.4,0.0,0.0,0.0,0.0,11.9,0.0,14.2,15.0,0.0
14.9,0.0,0.0,7.7,0.0,0.0,10.2,0.0,0.0,0.0,0.0,3.8,18.7,0.0,0.0,15.3,0.0,0.0,15.9
6.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,7.8,0.0,0.0,16.4,10.4,0.0,0.0,0.0,4.6,0.0,5.1
17.0,0.0,0.0,18.8,0.0,0.0,17.7,0.0,0.0,5.4,0.0,0.0,14.7,0.0,0.0,15.6,0.0,5.0,0.0
14.2,0.0,0.0,4.1,0.0,0.0,0.0,0.0,9.6,4.2,0.0,0.0,9.4,0.0,0.0,6.8,0.0,13.6,0.0
15.7,0.0,0.0,7.7,0.0,0.0,13.1,0.0,0.0,4.6,0.0,0.0,11.3,0.0,0.0,17.4,0.0,9.7,0.0
0.0,12.2,0.0,15.9,0.0,0.0,0.0,4.1,0.0,9.0,0.0,0.0,16.3,0.0,0.0,0.0,11.1,19.1,0.0
15.7,0.0,0.0,0.0,16.6,0.0,0.0,19.2,0.0,0.0,0.0,18.3,7.3,0.0,0.0,0.0,2.2,7.6,0.0
0.0,7.9,0.0,18.7,0.0,0.0,12.0,0.0,0.0,17.5,0.0,0.0,15.9,0.0,0.0,9.7,0.0,17.9,0.0
4.2,0.0,0.0,5.5,0.0,0.0,8.3,0.0,0.0,15.1,0.0,0.0,19.3,0.0,0.0,13.6,0.0,6.7,0.0
8.2,0.0,0.0,5.0,0.0,0.0,7.4,0.0,0.0,0.0,7.0,0.0,11.0,0.0,0.0,16.1,0.0,0.0,16.2
